objid,run,rerun,camcol,field,obj,type,ra,dec,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z
587750860901321810,7243,40,2,116,3154,6,112.39189956,-13.96662327,25.901764,22.453863,20.875179,20.44198,20.115276,1.081104,0.137526,0.049387,0.040899,0.132638
587750860901321811,7243,40,2,116,3155,6,112.39318196,-13.96882071,25.884001,24.217047,21.745071,20.795837,20.298725,1.137287,0.578131,0.106529,0.057106,0.160577
587750860901321821,7243,40,2,116,3165,6,112.4029693,-13.98592829,22.029196,20.544783,19.713457,19.362246,19.064102,0.342918,0.02908,0.019976,0.017682,0.053453
587750860901321822,7243,40,2,116,3166,6,112.40310616,-13.98532766,25.268158,24.180748,22.406725,21.650015,21.419847,1.625192,0.561652,0.185322,0.115511,0.400585
587750860901321823,7243,40,2,116,3167,6,112.40307142,-13.98355275,24.249733,21.109941,19.791565,19.270136,18.823,1.772829,0.044924,0.021267,0.016815,0.043735
587750860901321829,7243,40,2,116,3173,6,112.40525707,-13.97688996,23.011513,20.578247,19.721375,19.367439,19.028231,0.802028,0.02974,0.020251,0.01802,0.051879
587750860901321832,7243,40,2,116,3176,6,112.40395337,-13.97222452,23.904774,21.80098,20.205267,19.093882,18.261732,1.525734,0.078965,0.028806,0.01463,0.02788
587750860901321833,7243,40,2,116,3177,3,112.40239597,-13.97099645,22.399755,20.847569,19.471119,18.939363,18.431267,0.669055,0.048316,0.022223,0.01784,0.044773
587750860901321848,7243,40,2,116,3192,6,112.38974801,-13.93259137,24.954884,20.841652,19.771677,19.339954,19.064953,1.855986,0.036031,0.021273,0.017474,0.054029
587750860901321856,7243,40,2,116,3200,6,112.40654125,-13.96164734,22.258959,20.465473,19.761436,19.424664,19.124998,0.425785,0.027301,0.021091,0.018636,0.056488
587750860901321875,7243,40,2,116,3219,6,112.38726392,-13.92298671,26.785423,23.931114,22.422651,20.165657,19.038038,0.529799,0.466667,0.193036,0.033363,0.053956
587750860901322113,7243,40,2,116,3457,6,112.36732313,-13.91778296,22.668404,21.160507,20.102722,19.664261,19.286308,0.61074,0.045889,0.026554,0.022375,0.065438
587750860901322114,7243,40,2,116,3458,6,112.39213012,-13.95759869,25.208158,22.163666,20.549091,19.56418,19.027876,1.680444,0.107255,0.0381,0.020753,0.052331
587750860901322253,7243,40,2,116,3597,3,112.39027163,-13.9721397,23.262913,22.104864,20.581911,19.920267,19.44581,1.05048,0.108258,0.041491,0.029139,0.079896
587750860901322281,7243,40,2,116,3625,6,112.37214313,-13.91592102,23.12878,21.451899,20.330648,19.873787,19.489794,0.888112,0.05798,0.031737,0.02574,0.077874
587750860901322286,7243,40,2,116,3630,6,112.38909919,-13.94587913,23.372221,22.68928,21.377241,20.684896,20.076883,1.091239,0.167968,0.076562,0.053242,0.129681
587750860901322299,7243,40,2,116,3643,6,112.37973666,-13.92014516,22.510471,22.589516,21.484762,21.124691,20.639263,0.536511,0.152237,0.082681,0.072597,0.210997
587750860901322302,7243,40,2,116,3646,6,112.4018616,-13.95061196,23.18837,22.660509,20.912066,19.958611,19.32827,0.963408,0.164623,0.051271,0.027623,0.067422
587750860901322303,7243,40,2,116,3647,6,112.40294802,-13.95130667,25.688515,21.496393,20.813978,20.605999,20.115065,1.254134,0.061129,0.047178,0.046672,0.133607
587750860901322526,7243,40,2,116,3870,6,112.3973872,-13.96037761,24.764606,23.928669,21.842772,20.964931,20.260725,1.894447,0.464841,0.113104,0.063388,0.151018
587750860901322532,7243,40,2,116,3876,6,112.38057194,-13.92229339,26.674149,24.329613,21.994272,21.203011,20.663294,0.576474,0.593796,0.128947,0.077879,0.214925
587750860901322539,7243,40,2,116,3883,6,112.40175993,-13.955495,25.617844,23.174526,21.451412,20.72473,20.183851,1.329306,0.256054,0.080749,0.05157,0.141493
587750860901322540,7243,40,2,116,3884,6,112.40186098,-13.95653624,25.855499,24.195854,21.690342,21.045092,20.527912,1.137343,0.554351,0.099078,0.067845,0.190598
587750860901322544,7243,40,2,116,3888,6,112.39536992,-13.94101667,26.238523,23.323002,22.042719,20.980677,20.415552,0.835556,0.286488,0.134337,0.064185,0.174085
587750860901322546,7243,40,2,116,3890,6,112.39150837,-13.92996814,25.286634,23.297344,21.662666,20.621065,20.039009,1.740278,0.298224,0.103798,0.051769,0.134295
587750860901322548,7243,40,2,116,3892,6,112.40446401,-13.94967656,25.171381,23.960339,22.105175,20.910879,20.196598,1.700894,0.474258,0.142673,0.060391,0.143286
587750860901322823,7243,40,2,116,4167,3,112.40048994,-13.98763194,26.368143,24.751284,22.38722,21.494404,20.804514,0.894247,0.870207,0.224274,0.129296,0.29912
